SPORT_CODE	DATATAB_FED_RATE	FED_RATE_2008	FED_RATE_2007	FED_RATE_2006	FED_RATE_2005	FED_RATE_2004	FED_RATE_2003	FED_RATE_2002	FED_RATE_2001	FED_RATE_2000	FED_RATE_1999	FED_RATE_1998	FED_RATE_1997	FED_RATE_1996	FED_RATE_1995	DATATAB_GSR	GSR_2008	GSR_2007	GSR_2006	GSR_2005	GSR_2004	GSR_2003	GSR_2002	GSR_2001	GSR_2000	GSR_1999	GSR_1998	GSR_1997	GSR_1996	GSR_1995	DATATAB_FED_NUMERATOR	FED_NUM_2008	FED_NUM_2007	FED_NUM_2006	FED_NUM_2005	FED_NUM_2004	FED_NUM_2003	FED_NUM_2002	FED_NUM_2001	FED_NUM_2000	FED_NUM_1999	FED_NUM_1998	FED_NUM_1997	FED_NUM_1996	FED_NUM_1995	DATATAB_FED_DENOMINATOR	FED_DEN_2008	FED_DEN_2007	FED_DEN_2006	FED_DEN_2005	FED_DEN_2004	FED_DEN_2003	FED_DEN_2002	FED_DEN_2001	FED_DEN_2000	FED_DEN_1999	FED_DEN_1998	FED_DEN_1997	FED_DEN_1996	FED_DEN_1995	DATATAB_GSR_NUMBERATOR	GSR_NUM_2008	GSR_NUM_2007	GSR_NUM_2006	GSR_NUM_2005	GSR_NUM_2004	GSR_NUM_2003	GSR_NUM_2002	GSR_NUM_2001	GSR_NUM_2000	GSR_NUM_1999	GSR_NUM_1998	GSR_NUM_1997	GSR_NUM_1996	GSR_NUM_1995	DATATAB_GSR_DENOMINATOR	GSR_DEN_2008	GSR_DEN_2007	GSR_DEN_2006	GSR_DEN_2005	GSR_DEN_2004	GSR_DEN_2003	GSR_DEN_2002	GSR_DEN_2001	GSR_DEN_2000	GSR_DEN_1999	GSR_DEN_1998	GSR_DEN_1997	GSR_DEN_1996	GSR_DEN_1995
MBA	 	49	52	48	50	48	46	48	49	45	47	45	45	48	50	 	80	78	76	76	77	69	70	72	68	67	65	64	67	66	 	806	961	872	895	842	812	786	777	695	701	680	658	680	673	 	1652	1865	1801	1791	1743	1751	1622	1576	1544	1499	1502	1477	1413	1358.03	 	1359	1484	1436	1479	1493	1352	1309	1300	1189	1195	1171	1111	1128	1065	 	1702	1891	1892	1954	1933	1950	1865	1817	1761	1794	1808	1741	1691	1625.03
MBB	 	47	48	46	48	46	47	51	49	46	47	44	45	44	43	 	77	74	73	74	68	67	66	65	64	61	60	60	59	56	 	446	482	452	438	410	387	404	393	403	407	376	372	364	362	 	957	1014	973	918	899	822	793	801	877	874	863	835	822	843	 	776	792	780	783	702	720	639	641	662	654	600	615	617	593	 	1013	1075	1068	1052	1033	1076	974	982	1041	1080	1008	1033	1051	1062
MFB	 	61	60	59	58	57	54	55	54	55	54	54	56	54	53	 	75	73	70	69	70	66	66	64	66	66	65	66	65	63	 	2177	2174	2066	2086	2007	1954	1898	1888	1875	1767	1789	1898	1747	1822	 	3596	3628	3522	3580	3511	3602	3433	3494	3413	3248	3298	3401	3238	3463	 	3325	3284	3113	3128	3068	2863	2604	2541	2639	2808	2590	2635	2579	2611	 	4424	4489	4436	4504	4360	4313	3961	3941	4012	4260	3964	4005	3998	4173
MFE	 	69	65	42	83	67	100	58	85	63	80	80	60	56	-99	 	90	90	88	90	89	100	74	79	85	89	90	87	82	100	 	9	11	5	10	8	10	7	11	5	4	8	6	5	-99	 	13	17	12	12	12	10	12	13	8	5	10	10	9	-99	 	36	35	36	43	42	15	14	15	11	16	18	13	14	4	 	40	39	41	48	47	15	19	19	13	18	20	15	17	4
MGO	 	68	68	67	66	65	69	66	61	58	64	60	58	63	61	 	86	87	83	82	83	86	80	80	81	79	77	77	77	77	 	375	378	331	369	335	360	345	330	283	327	292	276	271	258	 	553	554	497	563	513	524	519	539	487	511	490	478	427	425	 	482	499	435	496	450	468	433	424	405	411	394	396	386	379	 	562	576	523	603	541	547	544	533	502	521	509	516	501	493
MGY	 	80	83	88	88	88	88	83	74	69	67	78	80	69	58	 	91	89	93	88	92	89	86	85	88	81	92	93	80	76	 	20	19	29	36	29	21	20	17	18	22	31	28	27	23	 	25	23	33	41	33	24	24	23	26	33	40	35	39	40	 	29	31	38	45	47	34	36	34	38	35	45	38	41	42	 	32	35	41	51	51	38	42	40	43	43	49	41	51	55
MIH	 	62	70	66	61	67	63	58	58	64	75	61	71	67	60	 	89	92	86	82	89	80	78	80	78	89	82	83	81	77	 	86	100	80	85	93	79	70	80	69	91	68	92	76	65	 	138	143	121	139	138	125	121	138	108	122	111	129	113	109	 	154	175	145	146	164	113	94	108	97	133	102	127	110	99	 	174	190	168	177	185	142	120	135	124	149	124	153	135	129
MLA	 	72	75	68	73	74	73	68	77	72	74	75	80	76	75	 	89	91	87	87	89	88	83	91	90	87	85	89	92	91	 	253	237	231	232	195	201	176	160	143	141	116	119	108	107	 	349	314	340	320	263	276	259	207	199	191	154	149	142	142	 	361	361	372	387	319	273	250	246	264	243	232	217	219	204	 	407	397	427	445	359	312	303	271	293	278	273	243	238	225
MRI	 	-99	-99	-99	-99	-99	-99	-99	-99	50	68	65	63	52	68	 	-99	-99	-99	-99	-99	-99	-99	-99	50	84	73	71	68	84	 	-99	-99	-99	-99	-99	-99	-99	-99	2	13	15	12	13	13	 	-99	-99	-99	-99	-99	-99	-99	-99	4	19	23	19	25	19	 	-99	-99	-99	-99	-99	-99	-99	-99	2	21	19	17	19	16	 	-99	-99	-99	-99	-99	-99	-99	-99	4	25	26	24	28	19
MSK	 	50	75	75	75	60	64	90	71	71	79	69	78	70	62	 	86	80	83	88	90	82	85	100	77	95	67	100	100	82	 	10	6	9	12	9	9	9	10	5	11	9	7	7	8	 	20	8	12	16	15	14	10	14	7	14	13	9	10	13	 	19	12	20	23	19	18	17	13	10	18	12	15	13	14	 	22	15	24	26	21	22	20	13	13	19	18	15	13	17
